s,o,h,l,c,v,t
ok,173.26,173.26,173.26,173.26,0.0,869356800
ok,173.25,173.25,173.25,173.25,0.0,869443200
ok,173.03,173.03,173.03,173.03,0.0,869529600
ok,173.03,173.03,173.03,173.03,0.0,869616000
ok,172.66,172.66,172.66,172.66,0.0,869702400
ok,173.15,173.15,173.15,173.15,0.0,869961600
ok,172.88,172.88,172.88,172.88,0.0,870134400
ok,172.12,172.12,172.12,172.12,0.0,870220800
ok,171.7,171.7,171.7,171.7,0.0,870307200
ok,171.52,171.52,171.52,171.52,0.0,870566400
ok,171.36,171.36,171.36,171.36,0.0,870652800
ok,171.16,171.16,171.16,171.16,0.0,870739200
ok,171.1,171.1,171.1,171.1,0.0,870825600
ok,171.24,171.24,171.24,171.24,0.0,870912000
ok,170.39,170.39,170.39,170.39,0.0,871171200
ok,169.38,169.38,169.38,169.38,0.0,871257600
ok,169.28,169.28,169.28,169.28,0.0,871344000
ok,169.28,169.28,169.28,169.28,0.0,871430400
ok,169.52,169.52,169.52,169.52,0.0,871516800
ok,169.57,169.57,169.57,169.57,0.0,871776000
ok,169.76,169.76,169.76,169.76,0.0,872035200
ok,169.57,169.57,169.57,169.57,0.0,872121600
ok,169.91,169.91,169.91,169.91,0.0,872380800
ok,169.57,169.57,169.57,169.57,0.0,872553600
ok,169.87,169.87,169.87,169.87,0.0,872640000
ok,169.98,169.98,169.98,169.98,0.0,872726400
ok,169.64,169.64,169.64,169.64,0.0,872985600
ok,170.13,170.13,170.13,170.13,0.0,873072000
ok,170.2,170.2,170.2,170.2,0.0,873158400
ok,168.74,168.74,168.74,168.74,0.0,873244800
ok,168.63,168.63,168.63,168.63,0.0,873331200
ok,168.49,168.49,168.49,168.49,0.0,873590400
ok,168.84,168.84,168.84,168.84,0.0,873676800
ok,169.18,169.18,169.18,169.18,0.0,873763200
ok,169.17,169.17,169.17,169.17,0.0,873849600
ok,169.99,169.99,169.99,169.99,0.0,873936000
ok,170.1,170.1,170.1,170.1,0.0,874195200
ok,170.45,170.45,170.45,170.45,0.0,874368000
ok,170.6,170.6,170.6,170.6,0.0,874454400
ok,169.67,169.67,169.67,169.67,0.0,874540800
ok,170.31,170.31,170.31,170.31,0.0,874800000
ok,170.06,170.06,170.06,170.06,0.0,874886400
ok,170.43,170.43,170.43,170.43,0.0,874972800
ok,169.96,169.96,169.96,169.96,0.0,875059200
ok,169.97,169.97,169.97,169.97,0.0,875145600
ok,170.71,170.71,170.71,170.71,0.0,875404800
ok,170.64,170.64,170.64,170.64,0.0,875491200
ok,171.23,171.23,171.23,171.23,0.0,875577600
ok,170.2,170.2,170.2,170.2,0.0,875664000
ok,169.8,169.8,169.8,169.8,0.0,876009600
ok,169.7,169.7,169.7,169.7,0.0,876096000
ok,169.68,169.68,169.68,169.68,0.0,876182400
ok,169.43,169.43,169.43,169.43,0.0,876960000
ok,169.51,169.51,169.51,169.51,0.0,877219200
ok,169.55,169.55,169.55,169.55,0.0,877305600
ok,169.29,169.29,169.29,169.29,0.0,877392000
ok,170.33,170.33,170.33,170.33,0.0,877478400
ok,171.04,171.04,171.04,171.04,0.0,877564800
ok,170.61,170.61,170.61,170.61,0.0,877824000
ok,172.96,172.96,172.96,172.96,0.0,877910400
ok,172.0,172.0,172.0,172.0,0.0,877996800
ok,173.43,173.43,173.43,173.43,0.0,878083200
ok,173.44,173.44,173.44,173.44,0.0,878515200
ok,172.68,172.68,172.68,172.68,0.0,878601600
ok,173.03,173.03,173.03,173.03,0.0,878688000
ok,172.07,172.07,172.07,172.07,0.0,878774400
ok,173.02,173.02,173.02,173.02,0.0,879033600
ok,172.46,172.46,172.46,172.46,0.0,879120000
ok,172.08,172.08,172.08,172.08,0.0,879206400
ok,171.96,171.96,171.96,171.96,0.0,879292800
ok,172.02,172.02,172.02,172.02,0.0,879379200
ok,172.02,172.02,172.02,172.02,0.0,879638400
ok,172.8,172.8,172.8,172.8,0.0,879724800
ok,172.68,172.68,172.68,172.68,0.0,879811200
ok,172.35,172.35,172.35,172.35,0.0,879897600
ok,173.01,173.01,173.01,173.01,0.0,879984000
ok,173.28,173.28,173.28,173.28,0.0,880243200
ok,173.1,173.1,173.1,173.1,0.0,880329600
ok,173.28,173.28,173.28,173.28,0.0,880416000
ok,172.39,172.39,172.39,172.39,0.0,880502400
ok,172.14,172.14,172.14,172.14,0.0,880588800
ok,171.64,171.64,171.64,171.64,0.0,880848000
ok,171.77,171.77,171.77,171.77,0.0,880934400
ok,171.19,171.19,171.19,171.19,0.0,881020800
ok,170.08,170.08,170.08,170.08,0.0,881107200
ok,170.22,170.22,170.22,170.22,0.0,881193600
ok,170.68,170.68,170.68,170.68,0.0,881452800
ok,170.54,170.54,170.54,170.54,0.0,881539200
ok,170.24,170.24,170.24,170.24,0.0,881625600
ok,171.14,171.14,171.14,171.14,0.0,881712000
ok,171.19,171.19,171.19,171.19,0.0,881798400
ok,170.56,170.56,170.56,170.56,0.0,882057600
ok,170.16,170.16,170.16,170.16,0.0,882144000
ok,170.11,170.11,170.11,170.11,0.0,882230400
ok,170.9,170.9,170.9,170.9,0.0,882316800
ok,171.7,171.7,171.7,171.7,0.0,882403200
ok,170.83,170.83,170.83,170.83,0.0,882662400
ok,170.57,170.57,170.57,170.57,0.0,882748800
ok,170.52,170.52,170.52,170.52,0.0,882835200
ok,170.94,170.94,170.94,170.94,0.0,882921600
ok,170.74,170.74,170.74,170.74,0.0,883008000
ok,170.83,170.83,170.83,170.83,0.0,883267200
ok,170.7,170.7,170.7,170.7,0.0,883440000
ok,170.93,170.93,170.93,170.93,0.0,883526400
ok,170.21,170.21,170.21,170.21,0.0,883872000
ok,170.23,170.23,170.23,170.23,0.0,883958400
ok,170.39,170.39,170.39,170.39,0.0,884044800
ok,170.32,170.32,170.32,170.32,0.0,884131200
ok,170.69,170.69,170.69,170.69,0.0,884217600
ok,170.73,170.73,170.73,170.73,0.0,884563200
ok,170.6,170.6,170.6,170.6,0.0,884649600
ok,176.6,176.6,176.6,176.6,0.0,887500800
ok,176.62,176.62,176.62,176.62,0.0,887587200
ok,176.11,176.11,176.11,176.11,0.0,887673600
ok,176.12,176.12,176.12,176.12,0.0,887760000
ok,176.5,176.5,176.5,176.5,0.0,888105600
ok,176.57,176.57,176.57,176.57,0.0,888192000
ok,178.68,178.68,178.68,178.68,0.0,888451200
ok,177.58,177.58,177.58,177.58,0.0,888710400
ok,177.86,177.86,177.86,177.86,0.0,888796800
ok,178.04,178.04,178.04,178.04,0.0,888883200
ok,178.56,178.56,178.56,178.56,0.0,888969600
ok,179.42,179.42,179.42,179.42,0.0,889056000
ok,180.31,180.31,180.31,180.31,0.0,889315200
ok,180.29,180.29,180.29,180.29,0.0,889401600
ok,180.22,180.22,180.22,180.22,0.0,889488000
ok,180.36,180.36,180.36,180.36,0.0,889574400
ok,180.84,180.84,180.84,180.84,0.0,889920000
ok,169.71,169.71,169.71,169.71,0.0,890006400
ok,168.91,168.91,168.91,168.91,0.0,890092800
ok,169.49,169.49,169.49,169.49,0.0,890179200
ok,170.23,170.23,170.23,170.23,0.0,890265600
ok,165.87,165.87,165.87,165.87,0.0,890524800
ok,166.06,166.06,166.06,166.06,0.0,890611200
ok,166.34,166.34,166.34,166.34,0.0,890697600
ok,166.62,166.62,166.62,166.62,0.0,890784000
ok,167.4,167.4,167.4,167.4,0.0,890870400
ok,167.83,167.83,167.83,167.83,0.0,891129600
ok,167.06,167.06,167.06,167.06,0.0,891216000
ok,166.62,166.62,166.62,166.62,0.0,891302400
ok,166.37,166.37,166.37,166.37,0.0,891388800
ok,165.87,165.87,165.87,165.87,0.0,891475200
ok,166.47,166.47,166.47,166.47,0.0,891820800
ok,166.64,166.64,166.64,166.64,0.0,891907200
ok,166.06,166.06,166.06,166.06,0.0,891993600
ok,165.82,165.82,165.82,165.82,0.0,892080000
ok,159.38,159.38,159.38,159.38,0.0,892339200
ok,158.86,158.86,158.86,158.86,0.0,892425600
ok,157.97,157.97,157.97,157.97,0.0,895104000
ok,158.01,158.01,158.01,158.01,0.0,895363200
ok,157.69,157.69,157.69,157.69,0.0,895449600
ok,157.57,157.57,157.57,157.57,0.0,895536000
ok,157.29,157.29,157.29,157.29,0.0,895622400
ok,157.57,157.57,157.57,157.57,0.0,895708800
ok,157.68,157.68,157.68,157.68,0.0,895968000
ok,156.84,156.84,156.84,156.84,0.0,896054400
ok,157.05,157.05,157.05,157.05,0.0,896140800
ok,157.56,157.56,157.56,157.56,0.0,896227200
ok,156.86,156.86,156.86,156.86,0.0,896313600
ok,156.86,156.86,156.86,156.86,0.0,896659200
ok,156.43,156.43,156.43,156.43,0.0,896745600
ok,156.91,156.91,156.91,156.91,0.0,896832000
ok,156.77,156.77,156.77,156.77,0.0,896918400
ok,156.78,156.78,156.78,156.78,0.0,897177600
ok,158.05,158.05,158.05,158.05,0.0,897264000
ok,158.32,158.32,158.32,158.32,0.0,897350400
ok,159.56,159.56,159.56,159.56,0.0,897436800
ok,160.16,160.16,160.16,160.16,0.0,897523200
ok,159.95,159.95,159.95,159.95,0.0,897782400
ok,160.23,160.23,160.23,160.23,0.0,897868800
ok,160.38,160.38,160.38,160.38,0.0,897955200
ok,161.13,161.13,161.13,161.13,0.0,898041600
ok,160.72,160.72,160.72,160.72,0.0,898128000
ok,161.02,161.02,161.02,161.02,0.0,898387200
ok,161.34,161.34,161.34,161.34,0.0,898473600
ok,163.01,163.01,163.01,163.01,0.0,898560000
ok,164.07,164.07,164.07,164.07,0.0,898646400
ok,164.68,164.68,164.68,164.68,0.0,898732800
ok,165.92,165.92,165.92,165.92,0.0,898992000
ok,165.65,165.65,165.65,165.65,0.0,899078400
ok,165.87,165.87,165.87,165.87,0.0,899164800
ok,166.03,166.03,166.03,166.03,0.0,899251200
ok,166.05,166.05,166.05,166.05,0.0,899337600
ok,165.41,165.41,165.41,165.41,0.0,899596800
ok,164.33,164.33,164.33,164.33,0.0,899683200
ok,163.73,163.73,163.73,163.73,0.0,899769600
ok,163.44,163.44,163.44,163.44,0.0,899856000
ok,162.59,162.59,162.59,162.59,0.0,899942400
ok,162.49,162.49,162.49,162.49,0.0,900288000
ok,162.85,162.85,162.85,162.85,0.0,900374400
ok,163.77,163.77,163.77,163.77,0.0,900460800
ok,163.35,163.35,163.35,163.35,0.0,900547200
ok,164.01,164.01,164.01,164.01,0.0,900806400
ok,164.04,164.04,164.04,164.04,0.0,900892800
ok,162.41,162.41,162.41,162.41,0.0,900979200
ok,161.57,161.57,161.57,161.57,0.0,901065600
ok,161.52,161.52,161.52,161.52,0.0,901152000
ok,160.14,160.14,160.14,160.14,0.0,901411200
ok,160.96,160.96,160.96,160.96,0.0,901497600
ok,161.21,161.21,161.21,161.21,0.0,901584000
ok,160.97,160.97,160.97,160.97,0.0,901670400
ok,161.29,161.29,161.29,161.29,0.0,901756800
ok,161.85,161.85,161.85,161.85,0.0,902016000
ok,162.07,162.07,162.07,162.07,0.0,902102400
ok,162.16,162.16,162.16,162.16,0.0,902188800
ok,162.37,162.37,162.37,162.37,0.0,902275200
ok,163.76,163.76,163.76,163.76,0.0,902361600
ok,164.25,164.25,164.25,164.25,0.0,902707200
ok,164.77,164.77,164.77,164.77,0.0,902793600
ok,165.43,165.43,165.43,165.43,0.0,902880000
ok,166.02,166.02,166.02,166.02,0.0,902966400
ok,166.28,166.28,166.28,166.28,0.0,903312000
ok,165.75,165.75,165.75,165.75,0.0,903398400
ok,166.47,166.47,166.47,166.47,0.0,903484800
ok,166.08,166.08,166.08,166.08,0.0,903571200
ok,166.83,166.83,166.83,166.83,0.0,903830400
ok,166.19,166.19,166.19,166.19,0.0,903916800
ok,166.82,166.82,166.82,166.82,0.0,904003200
ok,166.66,166.66,166.66,166.66,0.0,904089600
ok,166.21,166.21,166.21,166.21,0.0,904176000
ok,166.59,166.59,166.59,166.59,0.0,904435200
ok,166.54,166.54,166.54,166.54,0.0,904521600
ok,166.56,166.56,166.56,166.56,0.0,904608000
ok,166.17,166.17,166.17,166.17,0.0,904694400
ok,166.36,166.36,166.36,166.36,0.0,904780800
ok,166.37,166.37,166.37,166.37,0.0,905040000
ok,166.21,166.21,166.21,166.21,0.0,905126400
ok,167.3,167.3,167.3,167.3,0.0,905212800
ok,167.49,167.49,167.49,167.49,0.0,905299200
ok,167.74,167.74,167.74,167.74,0.0,905385600
ok,168.06,168.06,168.06,168.06,0.0,905644800
ok,168.21,168.21,168.21,168.21,0.0,905731200
ok,168.51,168.51,168.51,168.51,0.0,905817600
ok,168.42,168.42,168.42,168.42,0.0,905904000
ok,168.53,168.53,168.53,168.53,0.0,905990400
ok,169.01,169.01,169.01,169.01,0.0,906249600
ok,168.18,168.18,168.18,168.18,0.0,906422400
ok,168.28,168.28,168.28,168.28,0.0,906508800
ok,166.72,166.72,166.72,166.72,0.0,906595200
ok,166.22,166.22,166.22,166.22,0.0,906854400
ok,165.75,165.75,165.75,165.75,0.0,907632000
ok,167.35,167.35,167.35,167.35,0.0,907718400
ok,167.48,167.48,167.48,167.48,0.0,907804800
ok,167.95,167.95,167.95,167.95,0.0,908064000
ok,167.95,167.95,167.95,167.95,0.0,908150400
ok,168.42,168.42,168.42,168.42,0.0,908236800
ok,168.69,168.69,168.69,168.69,0.0,908323200
ok,168.75,168.75,168.75,168.75,0.0,908409600
ok,169.61,169.61,169.61,169.61,0.0,908668800
ok,170.07,170.07,170.07,170.07,0.0,909273600
ok,169.71,169.71,169.71,169.71,0.0,909360000
ok,170.6,170.6,170.6,170.6,0.0,909446400
ok,171.39,171.39,171.39,171.39,0.0,909532800
ok,172.0,172.0,172.0,172.0,0.0,909619200
ok,172.41,172.41,172.41,172.41,0.0,909878400
ok,174.98,174.98,174.98,174.98,0.0,910051200
ok,176.81,176.81,176.81,176.81,0.0,910137600
ok,179.29,179.29,179.29,179.29,0.0,910224000
ok,182.06,182.06,182.06,182.06,0.0,910483200
ok,181.67,181.67,181.67,181.67,0.0,910656000
ok,183.58,183.58,183.58,183.58,0.0,910742400
ok,183.77,183.77,183.77,183.77,0.0,910828800
ok,183.78,183.78,183.78,183.78,0.0,911088000
ok,184.17,184.17,184.17,184.17,0.0,911174400
ok,183.61,183.61,183.61,183.61,0.0,911260800
ok,185.56,185.56,185.56,185.56,0.0,911347200
ok,187.3,187.3,187.3,187.3,0.0,911433600
ok,188.34,188.34,188.34,188.34,0.0,911692800
ok,189.46,189.46,189.46,189.46,0.0,911779200
ok,190.74,190.74,190.74,190.74,0.0,911865600
ok,190.75,190.75,190.75,190.75,0.0,911952000
ok,192.9,192.9,192.9,192.9,0.0,912038400
ok,193.45,193.45,193.45,193.45,0.0,912297600
ok,192.93,192.93,192.93,192.93,0.0,912384000
